f,Gamma,RL
170,0.935463543564,-0.579462659
190,0.736653735656,-2.654732089
210,0.464145364461,-6.666919652
230,0.598873441478,-4.453298927
250,0.593447301671,-4.53235681
270,0.522446280185,-5.639167173
290,0.492433771339,-6.153043412
310,0.515361889967,-5.757753997
330,0.517712614669,-5.718225056
350,0.464145364461,-6.666919652
370,0.419925435946,-7.536556365
390,0.373065044017,-8.564308844
410,0.332945677428,-9.552532382
430,0.282631970233,-10.97557428
450,0.27377018945,-11.25227687
470,0.281348652195,-11.01510322
490,0.27377018945,-11.25227687
510,0.267610975726,-11.44992157
530,0.229247559236,-12.79390559
550,0.18764675111,-14.53317901
570,0.153595106002,-16.27245244
610,0.113228413959,-18.92089152
630,0.108190954671,-19.31618094
650,0.124017897816,-18.13031269
670,0.150139561284,-16.47009715
690,0.162216394002,-15.79810514
710,0.176867174335,-15.04705525
730,0.198179356775,-14.05883171
750,0.243219579056,-12.28002935
770,0.305366144998,-10.30358227
790,0.339062038856,-9.394416616
810,0.374766708869,-8.524779903
830,0.383392171053,-8.327135195
850,0.38514094112,-8.287606254
870,0.399421339603,-7.971374722
890,0.40861424169,-7.773730014
910,0.41423123199,-7.65514319
930,0.427639654551,-7.378440599
950,0.429590251053,-7.338911658
970,0.423764991906,-7.457498482
990,0.421840845514,-7.497027424
1010,0.40861424169,-7.773730014
1030,0.394005171973,-8.089961546
1050,0.394005171973,-8.089961546
1070,0.376476135583,-8.485250961
1090,0.350037278587,-9.117714026
1110,0.325455147973,-9.75017709
1130,0.297140742334,-10.54075592
1150,0.266395861672,-11.48945052
1170,0.267610975726,-11.44992157
1190,0.277533554551,-11.13369004
1210,0.32397738708,-9.789706031
1230,0.395802351214,-8.050432605
1250,0.462037867091,-6.706448593
1279,0.564470489107,-4.967175167
1290,0.649996624033,-3.74177798
1310,0.73164216291,-2.714025501
1330,0.801360010488,-1.923446671
1350,0.857974484781,-1.330512548
1370,0.893845372884,-0.974752074
1390,0.918588657909,-0.737578425
1410,0.926987702726,-0.658520542
1430,0.939730481618,-0.539933718
1450,0.974574156519,-0.223702186
1470,0.965743950903,-0.302760069
1490,0.965743950903,-0.302760069
