frequency (MHz),Gamma,VSWR
10,0.583333333333,3.8
30,0.645914960119,4.648360633
50,0.664424861371,4.959917079
70,0.667808172461,5.02061771
90,0.597462423405,3.968480252
110,0.356550863071,2.108248788
130,0.32429276035,1.959861731
150,0.354779990702,2.099717881
170,0.381070470305,2.231385649
190,0.399968945273,2.333160816
210,0.421872037306,2.459441731
230,0.444921007668,2.603090781
250,0.423537121264,2.469434154
270,0.39826456178,2.323719816
290,0.367122061603,2.160167038
310,0.379336204763,2.222356476
330,0.361848094453,2.134050032
350,0.329724341068,1.983846979
370,0.298666083405,1.851708655
390,0.270723633645,1.742444555
410,0.236584191008,1.619804275
430,0.21542368574,1.549146544
450,0.178403187742,1.434284031
470,0.138882959656,1.322564653
490,0.0808173004891,1.175846
510,0.0586260583968,1.124554241
530,0.048518610294,1.101985411
550,0.0566054636851,1.120003798
570,0.0808173004891,1.175846
590,0.223143002207,1.574476391
610,0.213489600932,1.542878012
630,0.182325929838,1.445962362
650,0.0667034714641,1.142941647
700,0.0646848960828,1.1383168
720,0.11294715202,1.254657098
740,0.154751596485,1.366168326
760,0.211553841439,1.536634846
780,0.302354566941,1.86678577
800,0.333333333333,2.0
820,0.382802058202,2.240451506
840,0.40167056701,2.342640174
860,0.44002981167,2.571618707
880,0.457834745221,2.688912158
900,0.464220386965,2.73287813
920,0.456230886193,2.67803163
940,0.446545546953,2.613666832
960,0.436754421425,2.550849001
980,0.430168824259,2.509811476
1000,0.420204102923,2.449489743
1020,0.411821898072,2.400330603
