Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90022E+06
+00030E+06,+90000E+06,+90022E+06
+00050E+06,+90000E+06,+90022E+06
+00070E+06,+90000E+06,+90022E+06
+00090E+06,+90000E+06,+90022E+06
+00110E+06,+90000E+06,+90022E+06
+00130E+06,+90000E+06,+90022E+06
+00150E+06,+90000E+06,+90022E+06
+00170E+06,+90000E+06,+90022E+06
+00190E+06,+90000E+06,+90022E+06
+00210E+06,+90000E+06,+90022E+06
+00230E+06,+90000E+06,+90022E+06
+00250E+06,+90000E+06,+90022E+06
+00270E+06,+90000E+06,+90022E+06
+00290E+06,+90000E+06,+90022E+06
+00310E+06,+90000E+06,+90022E+06
+00330E+06,+90000E+06,+90022E+06
+00350E+06,+90000E+06,+90022E+06
+00370E+06,+90000E+06,+90022E+06
+00390E+06,+90000E+06,+90022E+06
+00410E+06,+90000E+06,+90022E+06
+00430E+06,+90000E+06,+90022E+06
+00450E+06,+90000E+06,+90022E+06
+00470E+06,+90000E+06,+90022E+06
+00490E+06,+90000E+06,+90022E+06
+00510E+06,+90000E+06,+90022E+06
+00530E+06,+90000E+06,+90022E+06
+00550E+06,+90000E+06,+90022E+06
+00570E+06,+90000E+06,+90022E+06
+00590E+06,+90000E+06,+90022E+06
+00610E+06,+90000E+06,+90022E+06
+00630E+06,+90000E+06,+90022E+06
+00650E+06,+90000E+06,+90022E+06
+00670E+06,+90000E+06,+90022E+06
+00690E+06,+90000E+06,+90022E+06
+00710E+06,+90000E+06,+90022E+06
+00730E+06,+90000E+06,+90022E+06
+00750E+06,+90000E+06,+90022E+06
+00770E+06,+90000E+06,+90022E+06
+00790E+06,+90000E+06,+90022E+06
+00810E+06,+90000E+06,+90022E+06
+00830E+06,+90000E+06,+90022E+06
+00850E+06,+90000E+06,+90022E+06
+00870E+06,+90000E+06,+90022E+06
+00890E+06,+90000E+06,+90022E+06
+00910E+06,+90000E+06,+90022E+06
+00930E+06,+90000E+06,+90022E+06
+00950E+06,+90000E+06,+90022E+06
+00970E+06,+90000E+06,+90022E+06
+00990E+06,+90000E+06,+90022E+06
+01010E+06,+90000E+06,+90022E+06
+01030E+06,+90000E+06,+90022E+06
+01050E+06,+90000E+06,+90022E+06
+01070E+06,+90000E+06,+90022E+06
+01090E+06,+90000E+06,+90022E+06
+01110E+06,+90000E+06,+90022E+06
+01130E+06,+90000E+06,+90022E+06
+01150E+06,+90000E+06,+90022E+06
+01170E+06,+90000E+06,+90022E+06
+01190E+06,+90000E+06,+90022E+06
+01210E+06,+90000E+06,+90022E+06
+01230E+06,+90000E+06,+90022E+06
+01250E+06,+90000E+06,+90022E+06
+01270E+06,+90000E+06,+90022E+06
+01290E+06,+90000E+06,+90022E+06
+01310E+06,+90000E+06,+90022E+06
+01330E+06,+90000E+06,+90022E+06
+01350E+06,+90000E+06,+90022E+06
+01370E+06,+90000E+06,+90022E+06
+01390E+06,+90000E+06,+90022E+06
+01410E+06,+90000E+06,+90022E+06
+01430E+06,+90000E+06,+90022E+06
+01450E+06,+90000E+06,+90022E+06
+01470E+06,+90000E+06,+90022E+06
+01490E+06,+90000E+06,+90022E+06
+01510E+06,+90000E+06,+90022E+06
+01530E+06,+90000E+06,+90022E+06
+01550E+06,+90000E+06,+90022E+06
+01570E+06,+90000E+06,+90022E+06
+01590E+06,+90000E+06,+90022E+06
