Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+90000E+06,+90099E+06
+00030E+06,+21041E-03,+24110E-03
+00040E+06,+39371E-03,+07203E-03
+00050E+06,+39715E-03,+05876E-03
+00060E+06,+39692E-03,+05037E-03
+00070E+06,+39624E-03,+04096E-03
+00080E+06,+39468E-03,+03676E-03
+00090E+06,+39311E-03,+03563E-03
+00100E+06,+39390E-03,+03486E-03
+00110E+06,+39606E-03,+03299E-03
+00120E+06,+39701E-03,+03175E-03
+00130E+06,+39785E-03,+03067E-03
+00140E+06,+39863E-03,+02803E-03
+00150E+06,+39668E-03,+02714E-03
+00160E+06,+39389E-03,+02744E-03
+00170E+06,+39301E-03,+02678E-03
+00180E+06,+39371E-03,+02672E-03
+00190E+06,+39508E-03,+02596E-03
+00200E+06,+39596E-03,+02607E-03
+00210E+06,+39539E-03,+02583E-03
+00220E+06,+39442E-03,+02521E-03
+00230E+06,+39358E-03,+02500E-03
+00240E+06,+39431E-03,+02439E-03
+00250E+06,+39546E-03,+02446E-03
+00260E+06,+39606E-03,+02443E-03
+00270E+06,+39497E-03,+02502E-03
+00280E+06,+39366E-03,+02505E-03
+00290E+06,+39312E-03,+02568E-03
+00300E+06,+39290E-03,+02599E-03
+00310E+06,+39331E-03,+02629E-03
+00320E+06,+39331E-03,+02693E-03
+00330E+06,+39234E-03,+02734E-03
+00340E+06,+39138E-03,+02684E-03
+00350E+06,+39083E-03,+02748E-03
+00360E+06,+39087E-03,+02822E-03
+00370E+06,+39103E-03,+02899E-03
+00380E+06,+39072E-03,+03076E-03
+00390E+06,+38988E-03,+03250E-03
+00400E+06,+38782E-03,+03403E-03
+00410E+06,+38389E-03,+03682E-03
+00420E+06,+38120E-03,+03868E-03
+00430E+06,+37905E-03,+04074E-03
+00440E+06,+37572E-03,+04353E-03
+00450E+06,+37113E-03,+04613E-03
+00460E+06,+36414E-03,+04888E-03
+00470E+06,+35800E-03,+05313E-03
+00480E+06,+35341E-03,+06000E-03
+00490E+06,+34567E-03,+07136E-03
+00500E+06,+33022E-03,+08913E-03
+00510E+06,+30516E-03,+11409E-03
+00520E+06,+26612E-03,+14707E-03
+00530E+06,+21985E-03,+18528E-03
+00540E+06,+17524E-03,+22407E-03
+00550E+06,+13083E-03,+26540E-03
+00560E+06,+10349E-03,+28865E-03
+00570E+06,+08479E-03,+30267E-03
+00580E+06,+09715E-03,+28678E-03
+00590E+06,+09949E-03,+28533E-03
+00600E+06,+10043E-03,+28736E-03
+00610E+06,+08838E-03,+30042E-03
+00620E+06,+09190E-03,+29475E-03
+00630E+06,+09503E-03,+29163E-03
+00640E+06,+09193E-03,+29871E-03
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+90000E+06,+90099E+06
+00670E+06,+90000E+06,+90099E+06
+00680E+06,+90000E+06,+90099E+06
+00690E+06,+90000E+06,+90099E+06
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+90000E+06,+90099E+06
+00720E+06,+90000E+06,+90099E+06
+00730E+06,+08135E-03,+30776E-03
+00740E+06,+90000E+06,+90099E+06
+00750E+06,+90000E+06,+90099E+06
+00760E+06,+90000E+06,+90099E+06
+00770E+06,+90000E+06,+90099E+06
+00780E+06,+90000E+06,+90099E+06
+00790E+06,+90000E+06,+90099E+06
+00800E+06,+06621E-03,+30955E-03
+00810E+06,+90000E+06,+90099E+06
+00820E+06,+90000E+06,+90099E+06
+00830E+06,+90000E+06,+90099E+06
+00840E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
+00900E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00920E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00940E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00960E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00980E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01000E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01020E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01040E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01060E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01080E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01100E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01120E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01140E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01160E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01180E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01200E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01220E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01240E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01260E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01280E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01300E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01320E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01340E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01360E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01380E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01400E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01420E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01440E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01460E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01480E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01500E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01520E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01540E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01560E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01580E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
