Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+90000E+06,+90099E+06
+00030E+06,+22584E-03,+15823E-03
+00040E+06,+38170E-03,+02560E-03
+00050E+06,+38440E-03,+02180E-03
+00060E+06,+38089E-03,+02190E-03
+00070E+06,+36764E-03,+02801E-03
+00080E+06,+29896E-03,+08302E-03
+00090E+06,+90000E+06,+90099E+06
+00100E+06,+90000E+06,+90099E+06
+00110E+06,+10102E-03,+29707E-03
+00120E+06,+22623E-03,+15536E-03
+00130E+06,+23663E-03,+14302E-03
+00140E+06,+16571E-03,+20801E-03
+00150E+06,+25285E-03,+11881E-03
+00160E+06,+29693E-03,+08174E-03
+00170E+06,+32653E-03,+06321E-03
+00180E+06,+34594E-03,+05121E-03
+00190E+06,+35834E-03,+04403E-03
+00200E+06,+36638E-03,+03933E-03
+00210E+06,+36822E-03,+03602E-03
+00220E+06,+36594E-03,+03358E-03
+00230E+06,+36371E-03,+03212E-03
+00240E+06,+36349E-03,+03115E-03
+00250E+06,+36304E-03,+02997E-03
+00260E+06,+36251E-03,+02975E-03
+00270E+06,+36317E-03,+02951E-03
+00280E+06,+36573E-03,+02974E-03
+00290E+06,+36973E-03,+02911E-03
+00300E+06,+37206E-03,+02982E-03
+00310E+06,+37511E-03,+02934E-03
+00320E+06,+37782E-03,+02920E-03
+00330E+06,+37919E-03,+02893E-03
+00340E+06,+37977E-03,+02908E-03
+00350E+06,+38017E-03,+02906E-03
+00360E+06,+37958E-03,+02911E-03
+00370E+06,+37786E-03,+03013E-03
+00380E+06,+37680E-03,+03057E-03
+00390E+06,+37613E-03,+03238E-03
+00400E+06,+37557E-03,+03398E-03
+00410E+06,+37411E-03,+03584E-03
+00420E+06,+37112E-03,+03783E-03
+00430E+06,+36736E-03,+03994E-03
+00440E+06,+36199E-03,+04252E-03
+00450E+06,+35668E-03,+04647E-03
+00460E+06,+35152E-03,+05265E-03
+00470E+06,+34359E-03,+06214E-03
+00480E+06,+33158E-03,+08216E-03
+00490E+06,+32338E-03,+08358E-03
+00500E+06,+30597E-03,+10170E-03
+00510E+06,+27634E-03,+12716E-03
+00520E+06,+23793E-03,+15949E-03
+00530E+06,+19495E-03,+19692E-03
+00540E+06,+14744E-03,+23657E-03
+00550E+06,+08860E-03,+29036E-03
+00560E+06,+06108E-03,+31821E-03
+00570E+06,+90000E+06,+90099E+06
+00580E+06,+90000E+06,+90099E+06
+00590E+06,+90000E+06,+90099E+06
+00600E+06,+90000E+06,+90099E+06
+00610E+06,+90000E+06,+90099E+06
+00620E+06,+90000E+06,+90099E+06
+00630E+06,+90000E+06,+90099E+06
+00640E+06,+90000E+06,+90099E+06
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+09126E-03,+29600E-03
+00670E+06,+06878E-03,+31505E-03
+00680E+06,+90000E+06,+90099E+06
+00690E+06,+90000E+06,+90099E+06
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+07910E-03,+29805E-03
+00720E+06,+08364E-03,+28904E-03
+00730E+06,+90000E+06,+90099E+06
+00740E+06,+05129E-03,+31106E-03
+00750E+06,+05110E-03,+31013E-03
+00760E+06,+04361E-03,+31884E-03
+00770E+06,+06154E-03,+30053E-03
+00780E+06,+04282E-03,+31608E-03
+00790E+06,+04952E-03,+30533E-03
+00800E+06,+90000E+06,+90099E+06
+00810E+06,+90000E+06,+90099E+06
+00820E+06,+04066E-03,+31138E-03
+00830E+06,+90000E+06,+90099E+06
+00840E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
+00900E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00920E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00940E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00960E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00980E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01000E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01020E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01040E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01060E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01080E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01100E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01120E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01140E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01160E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01180E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01200E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01220E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01240E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01260E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01280E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01300E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01320E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01340E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01360E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01380E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01400E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01420E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01440E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01460E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01480E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01500E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01520E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01540E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01560E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01580E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
