Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+10659E-03,+27952E-03
+00020E+06,+09235E-03,+30260E-03
+00030E+06,+24874E-03,+13970E-03
+00040E+06,+39198E-03,+02150E-03
+00050E+06,+39390E-03,+01822E-03
+00060E+06,+39381E-03,+01608E-03
+00070E+06,+39330E-03,+01608E-03
+00080E+06,+39166E-03,+01559E-03
+00090E+06,+39079E-03,+01557E-03
+00100E+06,+39151E-03,+01539E-03
+00110E+06,+39298E-03,+01492E-03
+00120E+06,+39445E-03,+01479E-03
+00130E+06,+39560E-03,+01442E-03
+00140E+06,+39576E-03,+01430E-03
+00150E+06,+39367E-03,+01471E-03
+00160E+06,+39126E-03,+01583E-03
+00170E+06,+39084E-03,+01640E-03
+00180E+06,+39161E-03,+01708E-03
+00190E+06,+39332E-03,+01671E-03
+00200E+06,+39348E-03,+01759E-03
+00210E+06,+39287E-03,+01755E-03
+00220E+06,+39166E-03,+01797E-03
+00230E+06,+39071E-03,+01840E-03
+00240E+06,+39104E-03,+01806E-03
+00250E+06,+39142E-03,+01847E-03
+00260E+06,+39215E-03,+01880E-03
+00270E+06,+39174E-03,+01959E-03
+00280E+06,+39079E-03,+02000E-03
+00290E+06,+39107E-03,+02072E-03
+00300E+06,+39057E-03,+02147E-03
+00310E+06,+39087E-03,+02182E-03
+00320E+06,+39083E-03,+02257E-03
+00330E+06,+38979E-03,+02327E-03
+00340E+06,+38811E-03,+02392E-03
+00350E+06,+38763E-03,+02352E-03
+00360E+06,+38764E-03,+02480E-03
+00370E+06,+38794E-03,+02589E-03
+00380E+06,+38725E-03,+02716E-03
+00390E+06,+38691E-03,+02837E-03
+00400E+06,+38474E-03,+02995E-03
+00410E+06,+38143E-03,+03132E-03
+00420E+06,+37825E-03,+03300E-03
+00430E+06,+37567E-03,+03483E-03
+00440E+06,+37244E-03,+03776E-03
+00450E+06,+36735E-03,+04096E-03
+00460E+06,+36125E-03,+04500E-03
+00470E+06,+35565E-03,+05090E-03
+00480E+06,+34996E-03,+05967E-03
+00490E+06,+34128E-03,+07145E-03
+00500E+06,+32386E-03,+08941E-03
+00510E+06,+29518E-03,+11406E-03
+00520E+06,+25595E-03,+14558E-03
+00530E+06,+21095E-03,+18232E-03
+00540E+06,+16457E-03,+22280E-03
+00550E+06,+12747E-03,+25687E-03
+00560E+06,+10053E-03,+28144E-03
+00570E+06,+08804E-03,+29124E-03
+00580E+06,+08896E-03,+28911E-03
+00590E+06,+07788E-03,+30288E-03
+00600E+06,+08114E-03,+30278E-03
+00610E+06,+09553E-03,+28833E-03
+00620E+06,+08330E-03,+29934E-03
+00630E+06,+09588E-03,+28696E-03
+00640E+06,+07626E-03,+31042E-03
+00650E+06,+08176E-03,+30791E-03
+00660E+06,+90000E+06,+90099E+06
