Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+10099E-03,+28211E-03
+00030E+06,+24498E-03,+14184E-03
+00050E+06,+39441E-03,+01769E-03
+00070E+06,+39337E-03,+01601E-03
+00090E+06,+39255E-03,+01528E-03
+00110E+06,+39460E-03,+01506E-03
+00130E+06,+39587E-03,+01451E-03
+00150E+06,+39506E-03,+01464E-03
+00170E+06,+39229E-03,+01613E-03
+00190E+06,+39435E-03,+01710E-03
+00210E+06,+39372E-03,+01800E-03
+00230E+06,+39221E-03,+01774E-03
+00250E+06,+39378E-03,+01866E-03
+00270E+06,+39396E-03,+01946E-03
+00290E+06,+39184E-03,+02016E-03
+00310E+06,+39269E-03,+02176E-03
+00330E+06,+39053E-03,+02310E-03
+00350E+06,+38944E-03,+02382E-03
+00370E+06,+39101E-03,+02591E-03
+00390E+06,+38957E-03,+02778E-03
+00410E+06,+38398E-03,+03102E-03
+00430E+06,+37843E-03,+03471E-03
+00450E+06,+37156E-03,+04056E-03
+00470E+06,+35722E-03,+05010E-03
+00490E+06,+34447E-03,+07138E-03
+00510E+06,+30037E-03,+11279E-03
+00530E+06,+21324E-03,+18328E-03
+00550E+06,+13034E-03,+25796E-03
+00570E+06,+09754E-03,+28614E-03
+00590E+06,+09530E-03,+28874E-03
+00610E+06,+10062E-03,+28816E-03
+00630E+06,+08812E-03,+29929E-03
+00650E+06,+90000E+06,+90099E+06
+00670E+06,+08243E-03,+30786E-03
+00690E+06,+07068E-03,+31745E-03
+00710E+06,+08111E-03,+30774E-03
+00730E+06,+08002E-03,+29822E-03
+00750E+06,+08430E-03,+29349E-03
+00770E+06,+07597E-03,+29788E-03
+00790E+06,+06842E-03,+30014E-03
+00810E+06,+05396E-03,+31209E-03
+00830E+06,+90000E+06,+90099E+06
+00850E+06,+04602E-03,+31620E-03
+00870E+06,+04166E-03,+31718E-03
+00890E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
