Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+12142E-03,+25773E-03
+00030E+06,+11332E-03,+27995E-03
+00050E+06,+10615E-03,+29045E-03
+00070E+06,+09970E-03,+31108E-03
+00090E+06,+90000E+06,+90099E+06
+00110E+06,+90000E+06,+90099E+06
+00130E+06,+90000E+06,+90099E+06
+00150E+06,+90000E+06,+90099E+06
+00170E+06,+16918E-03,+26148E-03
+00190E+06,+29390E-03,+14684E-03
+00210E+06,+37719E-03,+05054E-03
+00230E+06,+38382E-03,+04856E-03
+00250E+06,+38767E-03,+04568E-03
+00270E+06,+38940E-03,+04206E-03
+00290E+06,+38714E-03,+04468E-03
+00310E+06,+38761E-03,+04744E-03
+00330E+06,+38932E-03,+04836E-03
+00350E+06,+38653E-03,+04595E-03
+00370E+06,+38808E-03,+04481E-03
+00390E+06,+39014E-03,+04385E-03
+00410E+06,+38781E-03,+04395E-03
+00430E+06,+38700E-03,+04369E-03
+00450E+06,+39051E-03,+04541E-03
+00470E+06,+39092E-03,+04618E-03
+00490E+06,+38617E-03,+04663E-03
+00510E+06,+38792E-03,+04748E-03
+00530E+06,+38926E-03,+04814E-03
+00550E+06,+38661E-03,+04917E-03
+00570E+06,+38921E-03,+04978E-03
+00590E+06,+39035E-03,+04956E-03
+00610E+06,+38483E-03,+04880E-03
+00630E+06,+38662E-03,+04881E-03
+00650E+06,+39042E-03,+04798E-03
+00670E+06,+38732E-03,+04777E-03
+00690E+06,+38549E-03,+04739E-03
+00710E+06,+38957E-03,+04762E-03
+00730E+06,+39096E-03,+04942E-03
+00750E+06,+38582E-03,+04985E-03
+00770E+06,+38690E-03,+05043E-03
+00790E+06,+39053E-03,+05035E-03
+00810E+06,+38777E-03,+05007E-03
+00830E+06,+38779E-03,+04991E-03
+00850E+06,+38989E-03,+04965E-03
+00870E+06,+38720E-03,+04888E-03
+00890E+06,+38710E-03,+04992E-03
+00910E+06,+39136E-03,+05027E-03
+00930E+06,+39081E-03,+05050E-03
+00950E+06,+38673E-03,+05052E-03
+00970E+06,+38876E-03,+05075E-03
+00990E+06,+39237E-03,+05039E-03
+01010E+06,+38942E-03,+05089E-03
+01030E+06,+38831E-03,+05100E-03
+01050E+06,+39048E-03,+05101E-03
+01070E+06,+39167E-03,+05153E-03
+01090E+06,+38931E-03,+05125E-03
+01110E+06,+38943E-03,+05148E-03
+01130E+06,+39021E-03,+05106E-03
+01150E+06,+38960E-03,+05084E-03
+01170E+06,+39053E-03,+05014E-03
+01190E+06,+39065E-03,+05016E-03
+01210E+06,+39168E-03,+05049E-03
+01230E+06,+39028E-03,+05132E-03
+01250E+06,+38960E-03,+05351E-03
+01270E+06,+38917E-03,+05336E-03
+01290E+06,+38793E-03,+05314E-03
+01310E+06,+38755E-03,+05306E-03
+01330E+06,+38561E-03,+05316E-03
+01350E+06,+38647E-03,+05432E-03
+01370E+06,+38757E-03,+05545E-03
+01390E+06,+38019E-03,+05686E-03
+01410E+06,+37442E-03,+05842E-03
+01430E+06,+37232E-03,+05903E-03
+01450E+06,+37017E-03,+05856E-03
+01470E+06,+37005E-03,+05808E-03
+01490E+06,+36863E-03,+05715E-03
+01510E+06,+36215E-03,+05568E-03
+01530E+06,+36180E-03,+05590E-03
+01550E+06,+36382E-03,+05604E-03
+01570E+06,+36292E-03,+05653E-03
+01590E+06,+36059E-03,+05754E-03
+01610E+06,+90000E+06,+90021E+06
+01630E+06,+90000E+06,+90021E+06
+01650E+06,+90000E+06,+90021E+06
+01670E+06,+90000E+06,+90021E+06
+01690E+06,+90000E+06,+90021E+06
+01710E+06,+90000E+06,+90021E+06
+01730E+06,+90000E+06,+90021E+06
+01750E+06,+90000E+06,+90021E+06
+01770E+06,+90000E+06,+90021E+06
+01790E+06,+90000E+06,+90021E+06
+01810E+06,+90000E+06,+90021E+06
+01830E+06,+90000E+06,+90021E+06
+01850E+06,+90000E+06,+90021E+06
+01870E+06,+90000E+06,+90021E+06
+01890E+06,+90000E+06,+90021E+06
+01910E+06,+90000E+06,+90021E+06
+01930E+06,+90000E+06,+90021E+06
+01950E+06,+90000E+06,+90021E+06
+01970E+06,+90000E+06,+90021E+06
+01990E+06,+90000E+06,+90021E+06
+02010E+06,+90000E+06,+90021E+06
+02030E+06,+90000E+06,+90021E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
+02030E+06,+90000E+06,+90035E+06
