Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+12197E-03,+25596E-03
+00020E+06,+12063E-03,+26324E-03
+00030E+06,+11783E-03,+27056E-03
+00040E+06,+11411E-03,+27574E-03
+00050E+06,+10854E-03,+28277E-03
+00060E+06,+11138E-03,+28507E-03
+00070E+06,+09958E-03,+30452E-03
+00080E+06,+10248E-03,+30791E-03
+00090E+06,+09909E-03,+31358E-03
+00100E+06,+90000E+06,+90099E+06
+00110E+06,+90000E+06,+90099E+06
+00120E+06,+90000E+06,+90099E+06
+00130E+06,+90000E+06,+90099E+06
+00140E+06,+90000E+06,+90099E+06
+00150E+06,+90000E+06,+90099E+06
+00160E+06,+13056E-03,+29549E-03
+00170E+06,+18716E-03,+24065E-03
+00180E+06,+24740E-03,+18604E-03
+00190E+06,+30636E-03,+12985E-03
+00200E+06,+35151E-03,+07643E-03
+00210E+06,+37610E-03,+04626E-03
+00220E+06,+38370E-03,+04158E-03
+00230E+06,+38386E-03,+04304E-03
+00240E+06,+38487E-03,+04305E-03
+00250E+06,+38623E-03,+04313E-03
+00260E+06,+38698E-03,+04185E-03
+00270E+06,+38645E-03,+04084E-03
+00280E+06,+38566E-03,+03983E-03
+00290E+06,+38610E-03,+03971E-03
+00300E+06,+38618E-03,+04022E-03
+00310E+06,+38714E-03,+04069E-03
+00320E+06,+38868E-03,+04064E-03
+00330E+06,+38775E-03,+04134E-03
+00340E+06,+38605E-03,+04145E-03
+00350E+06,+38453E-03,+04096E-03
+00360E+06,+38490E-03,+04105E-03
+00370E+06,+38624E-03,+04107E-03
+00380E+06,+38842E-03,+04079E-03
+00390E+06,+38880E-03,+04134E-03
+00400E+06,+38652E-03,+04123E-03
+00410E+06,+38367E-03,+04138E-03
+00420E+06,+38267E-03,+04148E-03
+00430E+06,+38406E-03,+04127E-03
+00440E+06,+38640E-03,+04154E-03
+00450E+06,+38812E-03,+04176E-03
+00460E+06,+38830E-03,+04188E-03
+00470E+06,+38637E-03,+04224E-03
+00480E+06,+38362E-03,+04218E-03
+00490E+06,+38244E-03,+04199E-03
+00500E+06,+38368E-03,+04225E-03
+00510E+06,+38592E-03,+04193E-03
+00520E+06,+38588E-03,+04229E-03
+00530E+06,+38488E-03,+04189E-03
+00540E+06,+38293E-03,+04158E-03
+00550E+06,+38182E-03,+04171E-03
+00560E+06,+38284E-03,+04177E-03
+00570E+06,+38482E-03,+04194E-03
+00580E+06,+38711E-03,+04155E-03
+00590E+06,+38669E-03,+04190E-03
+00600E+06,+38367E-03,+04179E-03
+00610E+06,+38040E-03,+04252E-03
+00620E+06,+37868E-03,+04285E-03
+00630E+06,+38004E-03,+04316E-03
+00640E+06,+38445E-03,+04380E-03
+00650E+06,+38759E-03,+04450E-03
+00660E+06,+38564E-03,+04550E-03
+00670E+06,+38152E-03,+04613E-03
+00680E+06,+37824E-03,+04655E-03
+00690E+06,+37856E-03,+04675E-03
+00700E+06,+38291E-03,+04668E-03
+00710E+06,+38640E-03,+04781E-03
+00720E+06,+38623E-03,+04785E-03
+00730E+06,+38337E-03,+04725E-03
+00740E+06,+37999E-03,+04695E-03
+00750E+06,+37873E-03,+04697E-03
+00760E+06,+37982E-03,+04675E-03
+00770E+06,+38205E-03,+04586E-03
+00780E+06,+38345E-03,+04561E-03
+00790E+06,+38299E-03,+04490E-03
+00800E+06,+38223E-03,+04376E-03
+00810E+06,+38055E-03,+04380E-03
+00820E+06,+38010E-03,+04310E-03
+00830E+06,+38052E-03,+04289E-03
+00840E+06,+38170E-03,+04307E-03
+00850E+06,+38259E-03,+04289E-03
+00860E+06,+38199E-03,+04276E-03
+00870E+06,+38075E-03,+04232E-03
+00880E+06,+37944E-03,+04245E-03
+00890E+06,+37979E-03,+04265E-03
+00900E+06,+38239E-03,+04289E-03
+00910E+06,+38486E-03,+04384E-03
+00920E+06,+38581E-03,+04472E-03
+00930E+06,+38411E-03,+04481E-03
+00940E+06,+38207E-03,+04385E-03
+00950E+06,+37985E-03,+04510E-03
+00960E+06,+38014E-03,+04559E-03
+00970E+06,+38250E-03,+04543E-03
+00980E+06,+38533E-03,+04526E-03
+00990E+06,+38574E-03,+04512E-03
+01000E+06,+38353E-03,+04523E-03
+01010E+06,+38135E-03,+04537E-03
+01020E+06,+38043E-03,+04480E-03
+01030E+06,+38174E-03,+04449E-03
+01040E+06,+38358E-03,+04410E-03
+01050E+06,+38507E-03,+04374E-03
+01060E+06,+38482E-03,+04446E-03
+01070E+06,+38360E-03,+04476E-03
+01080E+06,+38206E-03,+04452E-03
+01090E+06,+38117E-03,+04478E-03
+01100E+06,+38215E-03,+04509E-03
+01110E+06,+38403E-03,+04504E-03
+01120E+06,+38432E-03,+04587E-03
+01130E+06,+38408E-03,+04589E-03
+01140E+06,+38330E-03,+04670E-03
+01150E+06,+38337E-03,+04730E-03
+01160E+06,+38476E-03,+04769E-03
+01170E+06,+38634E-03,+04841E-03
+01180E+06,+38605E-03,+04836E-03
+01190E+06,+38423E-03,+04912E-03
+01200E+06,+38302E-03,+04922E-03
+01210E+06,+38291E-03,+05003E-03
+01220E+06,+38417E-03,+05060E-03
+01230E+06,+38633E-03,+05065E-03
+01240E+06,+38719E-03,+05138E-03
+01250E+06,+38576E-03,+05214E-03
+01260E+06,+38304E-03,+05278E-03
+01270E+06,+38143E-03,+05312E-03
+01280E+06,+38094E-03,+05374E-03
+01290E+06,+38100E-03,+05380E-03
+01300E+06,+38015E-03,+05421E-03
+01310E+06,+37813E-03,+05455E-03
+01320E+06,+37548E-03,+05452E-03
+01330E+06,+37442E-03,+05421E-03
+01340E+06,+37456E-03,+05383E-03
+01350E+06,+37469E-03,+05356E-03
+01360E+06,+37478E-03,+05276E-03
+01370E+06,+37305E-03,+05242E-03
+01380E+06,+37206E-03,+05144E-03
+01390E+06,+37089E-03,+05007E-03
+01400E+06,+37126E-03,+04946E-03
+01410E+06,+37186E-03,+04993E-03
+01420E+06,+37188E-03,+04863E-03
+01430E+06,+37117E-03,+04870E-03
+01440E+06,+37120E-03,+04806E-03
+01450E+06,+37097E-03,+04844E-03
+01460E+06,+37118E-03,+04787E-03
+01470E+06,+37098E-03,+04817E-03
+01480E+06,+37016E-03,+04831E-03
+01490E+06,+36816E-03,+04913E-03
+01500E+06,+36662E-03,+04949E-03
+01510E+06,+36511E-03,+05069E-03
+01520E+06,+36526E-03,+05094E-03
+01530E+06,+36622E-03,+05088E-03
+01540E+06,+36638E-03,+05134E-03
+01550E+06,+36555E-03,+05187E-03
+01560E+06,+36296E-03,+05214E-03
+01570E+06,+36109E-03,+05225E-03
+01580E+06,+35956E-03,+05226E-03
+01590E+06,+35961E-03,+05226E-03
