Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+08162E-03,+31069E-03
+00020E+06,+90000E+06,+90099E+06
+00030E+06,+25082E-03,+18242E-03
+00040E+06,+38684E-03,+04264E-03
+00050E+06,+38993E-03,+03969E-03
+00060E+06,+39212E-03,+03978E-03
+00070E+06,+39171E-03,+04016E-03
+00080E+06,+38911E-03,+04164E-03
+00090E+06,+38728E-03,+04176E-03
+00100E+06,+38776E-03,+03994E-03
+00110E+06,+38956E-03,+03908E-03
+00120E+06,+39139E-03,+03837E-03
+00130E+06,+39219E-03,+03795E-03
+00140E+06,+39141E-03,+03747E-03
+00150E+06,+38918E-03,+03751E-03
+00160E+06,+38756E-03,+03800E-03
+00170E+06,+38642E-03,+03919E-03
+00180E+06,+38731E-03,+03992E-03
+00190E+06,+38908E-03,+04112E-03
+00200E+06,+38977E-03,+04155E-03
+00210E+06,+38782E-03,+04258E-03
+00220E+06,+38630E-03,+04295E-03
+00230E+06,+38505E-03,+04356E-03
+00240E+06,+38575E-03,+04374E-03
+00250E+06,+38698E-03,+04399E-03
+00260E+06,+38747E-03,+04363E-03
+00270E+06,+38672E-03,+04360E-03
+00280E+06,+38478E-03,+04369E-03
+00290E+06,+38413E-03,+04459E-03
+00300E+06,+38403E-03,+04526E-03
+00310E+06,+38532E-03,+04569E-03
+00320E+06,+38618E-03,+04673E-03
+00330E+06,+38513E-03,+04774E-03
+00340E+06,+38209E-03,+04913E-03
+00350E+06,+37904E-03,+05036E-03
+00360E+06,+37840E-03,+05178E-03
+00370E+06,+37979E-03,+05224E-03
+00380E+06,+38053E-03,+05332E-03
+00390E+06,+37915E-03,+05596E-03
+00400E+06,+37569E-03,+05323E-03
+00410E+06,+37258E-03,+05261E-03
+00420E+06,+37099E-03,+05277E-03
+00430E+06,+36951E-03,+05332E-03
+00440E+06,+36691E-03,+05477E-03
+00450E+06,+36582E-03,+05742E-03
+00460E+06,+36470E-03,+06225E-03
+00470E+06,+35915E-03,+07035E-03
+00480E+06,+34961E-03,+07955E-03
+00490E+06,+33876E-03,+09061E-03
+00500E+06,+32743E-03,+10346E-03
+00510E+06,+30831E-03,+11820E-03
+00520E+06,+27714E-03,+14021E-03
+00530E+06,+24192E-03,+17016E-03
+00540E+06,+19876E-03,+21143E-03
+00550E+06,+14994E-03,+25981E-03
+00560E+06,+10435E-03,+30977E-03
+00570E+06,+90000E+06,+90099E+06
+00580E+06,+90000E+06,+90099E+06
+00590E+06,+90000E+06,+90099E+06
+00600E+06,+90000E+06,+90099E+06
+00610E+06,+90000E+06,+90099E+06
+00620E+06,+90000E+06,+90099E+06
+00630E+06,+90000E+06,+90099E+06
+00640E+06,+90000E+06,+90099E+06
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+90000E+06,+90099E+06
+00670E+06,+90000E+06,+90099E+06
+00680E+06,+90000E+06,+90099E+06
+00690E+06,+90000E+06,+90099E+06
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+90000E+06,+90099E+06
+00720E+06,+90000E+06,+90099E+06
+00730E+06,+90000E+06,+90099E+06
+00740E+06,+90000E+06,+90099E+06
+00750E+06,+90000E+06,+90099E+06
+00760E+06,+90000E+06,+90099E+06
+00770E+06,+07880E-03,+30803E-03
+00780E+06,+90000E+06,+90099E+06
+00790E+06,+90000E+06,+90099E+06
+00800E+06,+90000E+06,+90099E+06
+00810E+06,+90000E+06,+90099E+06
+00820E+06,+90000E+06,+90099E+06
+00830E+06,+90000E+06,+90099E+06
+00840E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
+00900E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00920E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00940E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00960E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00980E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01000E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01020E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01040E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01060E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01080E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01100E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01120E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01140E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01160E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01180E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01200E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01220E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01240E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01260E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01280E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01300E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01320E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01340E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01360E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01380E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01400E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01420E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01440E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01460E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01480E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01500E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01520E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01540E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01560E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01580E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
