Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+17190E-03,+26731E-03
+00030E+06,+38335E-03,+04684E-03
+00040E+06,+38480E-03,+04189E-03
+00050E+06,+38510E-03,+04266E-03
+00060E+06,+38647E-03,+04370E-03
+00070E+06,+38553E-03,+04423E-03
+00080E+06,+38319E-03,+04525E-03
+00090E+06,+38160E-03,+04474E-03
+00100E+06,+38178E-03,+04297E-03
+00110E+06,+38308E-03,+04229E-03
+00120E+06,+38477E-03,+04163E-03
+00130E+06,+38577E-03,+04146E-03
+00140E+06,+38529E-03,+04115E-03
+00150E+06,+38315E-03,+04131E-03
+00160E+06,+38051E-03,+04274E-03
+00170E+06,+37960E-03,+04394E-03
+00180E+06,+38040E-03,+04512E-03
+00190E+06,+38185E-03,+04594E-03
+00200E+06,+38258E-03,+04612E-03
+00210E+06,+38045E-03,+04731E-03
+00220E+06,+37895E-03,+04763E-03
+00230E+06,+37779E-03,+04806E-03
+00240E+06,+37805E-03,+04809E-03
+00250E+06,+37914E-03,+04803E-03
+00260E+06,+37975E-03,+04810E-03
+00270E+06,+37902E-03,+04816E-03
+00280E+06,+37761E-03,+04804E-03
+00290E+06,+37722E-03,+04798E-03
+00300E+06,+37691E-03,+04911E-03
+00310E+06,+37819E-03,+04961E-03
+00320E+06,+37875E-03,+05055E-03
+00330E+06,+37742E-03,+05228E-03
+00340E+06,+37470E-03,+05494E-03
+00350E+06,+37164E-03,+05487E-03
+00360E+06,+37108E-03,+05522E-03
+00370E+06,+37122E-03,+05621E-03
+00380E+06,+37186E-03,+05654E-03
+00390E+06,+37051E-03,+05752E-03
+00400E+06,+36789E-03,+05715E-03
+00410E+06,+36586E-03,+05717E-03
+00420E+06,+36278E-03,+05706E-03
+00430E+06,+35976E-03,+05809E-03
+00440E+06,+35745E-03,+06007E-03
+00450E+06,+35657E-03,+06402E-03
+00460E+06,+35468E-03,+07330E-03
+00470E+06,+34894E-03,+07809E-03
+00480E+06,+33800E-03,+08877E-03
+00490E+06,+32742E-03,+09885E-03
+00500E+06,+31357E-03,+11332E-03
+00510E+06,+29164E-03,+13034E-03
+00520E+06,+25877E-03,+15567E-03
+00530E+06,+22057E-03,+19065E-03
+00540E+06,+17650E-03,+23341E-03
+00550E+06,+12141E-03,+28807E-03
+00560E+06,+90000E+06,+90099E+06
+00570E+06,+90000E+06,+90099E+06
+00580E+06,+90000E+06,+90099E+06
+00590E+06,+90000E+06,+90099E+06
+00600E+06,+90000E+06,+90099E+06
+00610E+06,+90000E+06,+90099E+06
+00620E+06,+90000E+06,+90099E+06
+00630E+06,+90000E+06,+90099E+06
+00640E+06,+90000E+06,+90099E+06
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+90000E+06,+90099E+06
+00670E+06,+90000E+06,+90099E+06
+00680E+06,+90000E+06,+90099E+06
+00690E+06,+90000E+06,+90099E+06
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+90000E+06,+90099E+06
+00720E+06,+90000E+06,+90099E+06
+00730E+06,+90000E+06,+90099E+06
+00740E+06,+90000E+06,+90099E+06
+00750E+06,+90000E+06,+90099E+06
+00760E+06,+90000E+06,+90099E+06
+00770E+06,+90000E+06,+90099E+06
+00780E+06,+90000E+06,+90099E+06
+00790E+06,+90000E+06,+90099E+06
+00800E+06,+90000E+06,+90099E+06
+00810E+06,+90000E+06,+90099E+06
+00820E+06,+90000E+06,+90099E+06
+00830E+06,+90000E+06,+90099E+06
+00840E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
+00900E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00920E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00940E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00960E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00980E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01000E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01020E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01040E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01060E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01080E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01100E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01120E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01140E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01160E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01180E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01200E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01220E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01240E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01260E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01280E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01300E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01320E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01340E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01360E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01380E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01400E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01420E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01440E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01460E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01480E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01500E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01520E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01540E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01560E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01580E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
