Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
+00010E+06,+90000E+06,+90099E+06
+00020E+06,+16711E-03,+27371E-03
+00030E+06,+38386E-03,+04778E-03
+00040E+06,+38596E-03,+04217E-03
+00050E+06,+38562E-03,+04349E-03
+00060E+06,+38706E-03,+04419E-03
+00070E+06,+38628E-03,+04516E-03
+00080E+06,+38347E-03,+04658E-03
+00090E+06,+38211E-03,+04549E-03
+00100E+06,+38195E-03,+04440E-03
+00110E+06,+38336E-03,+04325E-03
+00120E+06,+38520E-03,+04243E-03
+00130E+06,+38625E-03,+04210E-03
+00140E+06,+38598E-03,+04166E-03
+00150E+06,+38349E-03,+04229E-03
+00160E+06,+38115E-03,+04326E-03
+00170E+06,+38021E-03,+04448E-03
+00180E+06,+38041E-03,+04591E-03
+00190E+06,+38252E-03,+04669E-03
+00200E+06,+38282E-03,+04704E-03
+00210E+06,+38048E-03,+04802E-03
+00220E+06,+37904E-03,+04840E-03
+00230E+06,+37806E-03,+04860E-03
+00240E+06,+37854E-03,+04853E-03
+00250E+06,+37932E-03,+04854E-03
+00260E+06,+38001E-03,+04862E-03
+00270E+06,+37943E-03,+04870E-03
+00280E+06,+37735E-03,+04902E-03
+00290E+06,+37698E-03,+04907E-03
+00300E+06,+37740E-03,+04909E-03
+00310E+06,+37818E-03,+05004E-03
+00320E+06,+37886E-03,+05114E-03
+00330E+06,+37761E-03,+05289E-03
+00340E+06,+37477E-03,+05555E-03
+00350E+06,+37208E-03,+05468E-03
+00360E+06,+37083E-03,+05559E-03
+00370E+06,+37085E-03,+05671E-03
+00380E+06,+37114E-03,+05782E-03
+00390E+06,+36947E-03,+05930E-03
+00400E+06,+36772E-03,+05806E-03
+00410E+06,+36545E-03,+05792E-03
+00420E+06,+36275E-03,+05770E-03
+00430E+06,+35959E-03,+05837E-03
+00440E+06,+35722E-03,+06041E-03
+00450E+06,+35667E-03,+06431E-03
+00460E+06,+35460E-03,+07030E-03
+00470E+06,+34844E-03,+07832E-03
+00480E+06,+33769E-03,+08938E-03
+00490E+06,+32620E-03,+10010E-03
+00500E+06,+31242E-03,+11438E-03
+00510E+06,+29204E-03,+12979E-03
+00520E+06,+25788E-03,+15746E-03
+00530E+06,+22031E-03,+19101E-03
+00540E+06,+17359E-03,+23661E-03
+00550E+06,+12634E-03,+28298E-03
+00560E+06,+90000E+06,+90099E+06
+00570E+06,+90000E+06,+90099E+06
+00580E+06,+90000E+06,+90099E+06
+00590E+06,+90000E+06,+90099E+06
+00600E+06,+90000E+06,+90099E+06
+00610E+06,+90000E+06,+90099E+06
+00620E+06,+18169E-03,+26858E-03
+00630E+06,+90000E+06,+90099E+06
+00640E+06,+90000E+06,+90099E+06
+00650E+06,+90000E+06,+90099E+06
+00660E+06,+90000E+06,+90099E+06
+00670E+06,+90000E+06,+90099E+06
+00680E+06,+90000E+06,+90099E+06
+00690E+06,+90000E+06,+90099E+06
+00700E+06,+90000E+06,+90099E+06
+00710E+06,+90000E+06,+90099E+06
+00720E+06,+90000E+06,+90099E+06
+00730E+06,+90000E+06,+90099E+06
+00740E+06,+25537E-03,+20632E-03
+00750E+06,+90000E+06,+90099E+06
+00760E+06,+90000E+06,+90099E+06
+00770E+06,+08948E-03,+31234E-03
+00780E+06,+90000E+06,+90099E+06
+00790E+06,+90000E+06,+90099E+06
+00800E+06,+90000E+06,+90099E+06
+00810E+06,+90000E+06,+90099E+06
+00820E+06,+90000E+06,+90099E+06
+00830E+06,+90000E+06,+90099E+06
+00840E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00860E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00880E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
+00900E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00920E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00940E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00960E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00980E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01000E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01020E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01040E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01060E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01080E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01100E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01120E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01140E+06,+90000E+06,+90099E+06
