Frequency (Hz),Insertion Gain (dB),Noise Figure (dB)
01590E+06,+90000E+06,+90099E+06
+00030E+06,+25336E-03,+18621E-03
+00050E+06,+39044E-03,+04489E-03
+00070E+06,+39167E-03,+04461E-03
+00090E+06,+38783E-03,+04765E-03
+00110E+06,+38991E-03,+04472E-03
+00130E+06,+39069E-03,+04195E-03
+00150E+06,+38786E-03,+04190E-03
+00170E+06,+38504E-03,+04387E-03
+00190E+06,+38661E-03,+04706E-03
+00210E+06,+38659E-03,+04913E-03
+00230E+06,+38325E-03,+04906E-03
+00250E+06,+38540E-03,+04879E-03
+00270E+06,+38598E-03,+04773E-03
+00290E+06,+38326E-03,+04885E-03
+00310E+06,+38327E-03,+05064E-03
+00330E+06,+38296E-03,+05402E-03
+00350E+06,+37755E-03,+05609E-03
+00370E+06,+37801E-03,+05772E-03
+00390E+06,+37681E-03,+05790E-03
+00410E+06,+37178E-03,+05723E-03
+00430E+06,+36901E-03,+05768E-03
+00450E+06,+36409E-03,+06387E-03
+00470E+06,+35758E-03,+07794E-03
+00490E+06,+33424E-03,+10075E-03
+00510E+06,+29780E-03,+13336E-03
+00530E+06,+22486E-03,+19284E-03
+00550E+06,+11956E-03,+29857E-03
+00570E+06,+90000E+06,+90099E+06
+00590E+06,+90000E+06,+90099E+06
+00610E+06,+90000E+06,+90099E+06
+00630E+06,+90000E+06,+90099E+06
+00650E+06,+90000E+06,+90099E+06
+00670E+06,+90000E+06,+90099E+06
+00690E+06,+90000E+06,+90099E+06
+00710E+06,+90000E+06,+90099E+06
+00730E+06,+90000E+06,+90099E+06
+00750E+06,+90000E+06,+90099E+06
+00770E+06,+90000E+06,+90099E+06
+00790E+06,+90000E+06,+90099E+06
+00810E+06,+90000E+06,+90099E+06
+00830E+06,+90000E+06,+90099E+06
+00850E+06,+90000E+06,+90099E+06
+00870E+06,+90000E+06,+90099E+06
+00890E+06,+90000E+06,+90099E+06
+00910E+06,+90000E+06,+90099E+06
+00930E+06,+90000E+06,+90099E+06
+00950E+06,+90000E+06,+90099E+06
+00970E+06,+90000E+06,+90099E+06
+00990E+06,+90000E+06,+90099E+06
+01010E+06,+90000E+06,+90099E+06
+01030E+06,+90000E+06,+90099E+06
+01050E+06,+90000E+06,+90099E+06
+01070E+06,+90000E+06,+90099E+06
+01090E+06,+90000E+06,+90099E+06
+01110E+06,+90000E+06,+90099E+06
+01130E+06,+90000E+06,+90099E+06
+01150E+06,+90000E+06,+90099E+06
+01170E+06,+90000E+06,+90099E+06
+01190E+06,+90000E+06,+90099E+06
+01210E+06,+90000E+06,+90099E+06
+01230E+06,+90000E+06,+90099E+06
+01250E+06,+90000E+06,+90099E+06
+01270E+06,+90000E+06,+90099E+06
+01290E+06,+90000E+06,+90099E+06
+01310E+06,+90000E+06,+90099E+06
+01330E+06,+90000E+06,+90099E+06
+01350E+06,+90000E+06,+90099E+06
+01370E+06,+90000E+06,+90099E+06
+01390E+06,+90000E+06,+90099E+06
+01410E+06,+90000E+06,+90099E+06
+01430E+06,+90000E+06,+90099E+06
+01450E+06,+90000E+06,+90099E+06
+01470E+06,+90000E+06,+90099E+06
+01490E+06,+90000E+06,+90099E+06
+01510E+06,+90000E+06,+90099E+06
+01530E+06,+90000E+06,+90099E+06
+01550E+06,+90000E+06,+90099E+06
+01570E+06,+90000E+06,+90099E+06
+01590E+06,+90000E+06,+90099E+06
