,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,inf,10.0,inf,inf,inf
1,9.36858295591e-10,20.0,7.09453919695e-11,6.06256846842e-13,8.65306646775e-10
2,2.56709597535e-06,30.0,2.38598086635e-06,5.25974566376e-08,1.2851765236e-07
3,1.45870819368e-06,40.0,1.30621363612e-06,5.67471989182e-08,9.57473586378e-08
4,6.61358714614e-07,50.0,5.51724349473e-07,4.07584299154e-08,6.88759352263e-08
5,3.56360090057e-07,60.0,2.65752257943e-07,3.03931583672e-08,6.02146737461e-08
6,1.95776419251e-07,70.0,1.26034365349e-07,2.0905387382e-08,4.88366665196e-08
7,6.88708041214e-08,80.0,2.12592554009e-08,4.87418392235e-09,4.27373647982e-08
8,inf,90.0,inf,inf,inf
9,5.7027691143e-11,100.0,4.48351754496e-14,1.77129802208e-14,5.69651429873e-11
10,7.79558929615e-11,110.0,4.60765082682e-14,2.29923422607e-14,7.78868241109e-11
11,1.48594575676e-08,120.0,1.36182028484e-09,8.41514441793e-10,1.2656122841e-08
12,8.73339234523e-08,130.0,2.24967923555e-08,1.69299580522e-08,4.79071730446e-08
13,1.43066849411e-07,140.0,4.12932742127e-08,3.73092276862e-08,6.44643475124e-08
14,1.29038058426e-07,150.0,3.53736048006e-08,3.79021749588e-08,5.57622786668e-08
15,1.11962150183e-07,160.0,2.79696505306e-08,3.51596180491e-08,4.88328816031e-08
16,1.06208631749e-07,170.0,2.33977435121e-08,3.41809775981e-08,4.86299106386e-08
17,1.13235509481e-07,180.0,2.23844664514e-08,3.76837714805e-08,5.31672715488e-08
18,1.26517399261e-07,190.0,2.2255266958e-08,4.28518829075e-08,6.14102493955e-08
19,1.39597017035e-07,200.0,2.101037647e-08,4.59581461442e-08,7.26284944206e-08
20,1.39577705214e-07,210.0,1.92876771893e-08,4.76369949854e-08,7.2653033039e-08
21,1.27102022791e-07,220.0,1.60085393986e-08,4.43955434045e-08,6.6697939988e-08
22,1.19714069564e-07,230.0,1.36212822417e-08,4.22014765002e-08,6.38913108218e-08
23,1.43099512605e-07,240.0,1.47014475617e-08,5.06494972694e-08,7.77485677738e-08
24,2.0124269406e-07,250.0,1.90608792378e-08,7.27125005758e-08,1.09469314247e-07
25,1.13498652805e-07,260.0,9.62640894545e-09,4.05014673369e-08,6.33707765225e-08
26,1.132602918e-07,270.0,8.60999048605e-09,3.98076033566e-08,6.48426979576e-08
27,1.12845664118e-07,280.0,7.97095946771e-09,4.03609298826e-08,6.45137747674e-08
28,1.18134848715e-07,290.0,7.4179369561e-09,4.10065330392e-08,6.97103787194e-08
29,1.22579523929e-07,300.0,7.21095651681e-09,4.33916242536e-08,7.19769431588e-08
