,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,inf,10.0,,inf,inf
1,inf,20.0,,inf,inf
2,inf,30.0,,inf,inf
3,inf,40.0,,inf,inf
4,inf,50.0,,inf,inf
5,inf,60.0,,inf,inf
6,inf,70.0,,inf,inf
7,inf,80.0,,inf,inf
8,inf,90.0,,inf,inf
9,inf,100.0,,inf,inf
10,inf,110.0,,inf,inf
11,inf,120.0,,inf,inf
12,inf,130.0,,inf,inf
13,inf,140.0,,inf,inf
14,inf,150.0,,inf,inf
15,inf,160.0,,inf,inf
16,inf,170.0,,inf,inf
17,inf,180.0,,inf,inf
18,inf,190.0,,inf,inf
19,inf,200.0,,inf,inf
20,5.03015224233e-09,210.0,0.0,1.31607648546e-10,4.89854459378e-09
21,7.59750736208e-09,220.0,0.0,2.69774644921e-10,7.32773271716e-09
22,1.14752228832e-08,230.0,0.0,5.52994904521e-10,1.09222279786e-08
23,1.7332097745e-08,240.0,0.0,1.13355117015e-09,1.61985465749e-08
24,2.61782812675e-08,250.0,0.0,2.32359872548e-09,2.3854682542e-08
25,3.95394960381e-08,260.0,0.0,4.76300601089e-09,3.47764900272e-08
26,5.97201829628e-08,270.0,0.0,9.76340106016e-09,4.99567819027e-08
27,9.02009537419e-08,280.0,0.0,2.00134117076e-08,7.01875420344e-08
28,1.36238900357e-07,290.0,0.0,4.10242952951e-08,9.52146050615e-08
29,2.0577429839e-07,300.0,0.0,8.40932485201e-08,1.2168104987e-07
30,3.10800085491e-07,310.0,0.0,1.72377719003e-07,1.38422366488e-07
31,3.11947227137e-07,320.0,0.0,1.74534437066e-07,1.3741279007e-07
32,3.13098602803e-07,330.0,0.0,1.76718139086e-07,1.36380463717e-07
33,3.14254228117e-07,340.0,0.0,1.78929162674e-07,1.35325065443e-07
34,3.15414118764e-07,350.0,0.0,1.81167849665e-07,1.34246269099e-07
35,3.16578290488e-07,360.0,0.0,1.83434546174e-07,1.33143744313e-07
36,3.17746759089e-07,370.0,0.0,1.85729602644e-07,1.32017156445e-07
37,3.18919540427e-07,380.0,0.0,1.88053373902e-07,1.30866166525e-07
38,3.20096650419e-07,390.0,0.0,1.90406219216e-07,1.29690431204e-07
39,3.21278105044e-07,400.0,0.0,1.92788502348e-07,1.28489602696e-07
40,3.22463920336e-07,410.0,0.0,1.95200591613e-07,1.27263328723e-07
41,3.17366534509e-07,420.0,0.0,1.92070704611e-07,1.25295829898e-07
42,3.12349726201e-07,430.0,0.0,1.88991002871e-07,1.2335872333e-07
43,3.07412221672e-07,440.0,0.0,1.85960681711e-07,1.21451539961e-07
44,3.02552767318e-07,450.0,0.0,1.82978949353e-07,1.19573817966e-07
45,2.97770129353e-07,460.0,0.0,1.80045026713e-07,1.17725102641e-07
46,2.93063093493e-07,470.0,0.0,1.771581472e-07,1.15904946292e-07
47,2.88430464647e-07,480.0,0.0,1.74317556516e-07,1.14112908131e-07
48,2.8387106662e-07,490.0,0.0,1.71522512456e-07,1.12348554164e-07
49,2.79383741806e-07,500.0,0.0,1.68772284714e-07,1.10611457091e-07
50,2.74967350899e-07,510.0,0.0,1.66066154699e-07,1.089011962e-07
51,2.62356077785e-07,520.0,0.0,1.56236006512e-07,1.06120071272e-07
52,2.50323215922e-07,530.0,0.0,1.46987745788e-07,1.03335470134e-07
53,2.38842236698e-07,540.0,0.0,1.38286928182e-07,1.00555308517e-07
54,2.27887828227e-07,550.0,0.0,1.30101148251e-07,9.77866799755e-08
55,2.17435839539e-07,560.0,0.0,1.22399918769e-07,9.50359207695e-08
56,2.07463227342e-07,570.0,0.0,1.15154557174e-07,9.23086701681e-08
57,1.97948005216e-07,580.0,0.0,1.08338078745e-07,8.96099264717e-08
58,1.88869195139e-07,590.0,0.0,1.01925096098e-07,8.69440990414e-08
59,1.80206781238e-07,600.0,0.0,9.58917246358e-08,8.43150566023e-08
