,combined_power_W_per_MHz,frequency_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,2.5389791811e-08,170,1.70394951007e-12,2.48924260588e-12,2.53855986189e-08
1,1.42554151818e-07,180,5.55139226196e-11,9.34565038006e-11,1.42405181391e-07
2,6.80057687135e-07,190,1.52868120617e-09,2.94343214004e-09,6.75585573789e-07
3,1.10953502111e-06,200,1.0240293174e-08,2.23996410023e-08,1.07689508694e-06
4,9.30665745977e-07,210,2.36893080302e-08,5.85082089857e-08,8.48468228961e-07
5,1.24564369396e-06,220,5.9227758014e-08,1.6425286756e-07,1.02216306839e-06
6,1.71573853199e-06,230,1.08325883021e-07,3.35615408709e-07,1.27179724026e-06
7,1.66984793501e-06,240,1.2794933217e-07,4.40811649545e-07,1.1010869533e-06
8,1.38558422178e-06,250,1.17851986363e-07,4.49575936103e-07,8.18156299316e-07
9,1.14123689975e-06,260,1.03336990962e-07,4.3477269539e-07,6.03127213396e-07
10,1.07383675756e-06,270,1.01112635758e-07,4.67486195845e-07,5.05237925957e-07
11,1.06463895111e-06,280,9.28312651892e-08,4.70050838973e-07,5.01756846949e-07
12,9.79654291522e-07,290,7.31834120155e-08,4.04559653243e-07,5.01911226263e-07
13,8.87676821561e-07,300,5.96995224047e-08,3.59239337842e-07,4.68737961314e-07
14,8.71939178869e-07,310,5.30862960208e-08,3.46772809571e-07,4.72080073277e-07
15,8.50743088885e-07,320,4.80156735018e-08,3.39606972403e-07,4.63120442981e-07
16,7.42066475167e-07,330,3.98326712431e-08,3.04308030583e-07,3.9792577334e-07
17,6.10239554401e-07,340,3.05265353082e-08,2.51329455665e-07,3.28383563429e-07
18,5.01193877993e-07,350,2.39205209388e-08,2.11785676273e-07,2.65487680781e-07
19,4.16328088993e-07,360,1.86293771986e-08,1.77012729159e-07,2.20685982635e-07
20,3.56931800485e-07,370,1.49306382584e-08,1.51961162314e-07,1.90039999913e-07
21,3.14399862503e-07,380,1.21709282778e-08,1.3244568414e-07,1.69783250084e-07
22,2.85173250587e-07,390,1.03518099057e-08,1.2023824385e-07,1.54583196832e-07
23,2.34870732052e-07,400,7.81881185423e-09,9.67763370465e-08,1.30275583151e-07
24,1.98948566616e-07,410,6.15033217525e-09,8.09941533455e-08,1.11804081095e-07
25,1.84283908095e-07,420,5.28964826497e-09,7.40057437652e-08,1.04988516065e-07
26,1.84165231489e-07,430,5.02210239154e-09,7.45408920612e-08,1.04602237036e-07
27,1.88813885661e-07,440,4.75646103867e-09,7.47959630226e-08,1.092614616e-07
