,frequency_MHz,combined_power_W_per_MHz,galactic_power_W_per_MHz,ground_power_W_per_MHz,system_power_W_per_MHz
0,20.0,1.116379882409323e-10,0.0,6.930038774199917e-16,1.1163729523705488e-10
1,30.0,4.1786635885832603e-08,0.0,3.144257568590503e-09,3.864237831724209e-08
2,40.0,2.9993477591569055e-07,0.0,1.700506778509608e-07,1.298840980647297e-07
3,50.0,3.204466783084984e-07,0.0,1.9388406921455946e-07,1.265626090939389e-07
4,60.0,3.2248705094701483e-07,0.0,1.9581364437848618e-07,1.2667340656852857e-07
5,70.0,3.2364947860731704e-07,0.0,1.9265752055568504e-07,1.3099195805163192e-07
6,80.0,3.224096175682025e-07,0.0,1.212681846281222e-07,2.0114143294008025e-07
7,90.0,3.214143133099145e-07,0.0,7.078693911555564e-12,3.2140723461600295e-07
8,100.0,3.1847770657685566e-07,0.0,1.4938799828055218e-15,3.184777050829757e-07
9,110.0,3.2173937093190825e-07,0.0,1.9715957040708796e-09,3.1976777522783734e-07
10,120.0,3.205034490631052e-07,0.0,1.317243650613473e-07,1.8877908400175784e-07
11,130.0,3.1932604928901537e-07,0.0,1.6094230286949946e-07,1.5838374641951589e-07
12,140.0,3.2063653631886007e-07,0.0,1.77005433054116e-07,1.4363110326474404e-07
13,150.0,3.2419913681767256e-07,0.0,1.783668190570504e-07,1.4583231776062205e-07
14,160.0,3.2731300778368334e-07,0.0,1.8015349529290707e-07,1.471595124907763e-07
15,170.0,3.303511413602886e-07,0.0,1.8186710638010822e-07,1.4848403498018045e-07
16,180.0,3.2825936125555197e-07,0.0,1.8036164791082435e-07,1.478977133447276e-07
17,190.0,3.26170410586764e-07,0.0,1.7874231200011196e-07,1.4742809858665195e-07
18,200.0,3.229897128499467e-07,0.0,1.769460631604024e-07,1.4604364968954425e-07
19,210.0,3.2365514205274155e-07,0.0,1.7701512470730724e-07,1.4664001734543428e-07
20,220.0,3.249135298521212e-07,0.0,1.7731285090238846e-07,1.476006789497327e-07
21,230.0,3.2568897261918074e-07,0.0,1.7733735029479944e-07,1.4835162232438126e-07
22,240.0,3.263552709463264e-07,0.0,1.7722705769113245e-07,1.4912821325519397e-07
23,250.0,3.2644626728068943e-07,0.0,1.77099203238141e-07,1.4934706404254846e-07
24,260.0,3.2636691655360534e-07,0.0,1.7699072131769452e-07,1.493761952359109e-07
25,270.0,3.2562668522306584e-07,0.0,1.7635810059086937e-07,1.4926858463219642e-07
26,280.0,3.250291252213366e-07,0.0,1.7571456603397271e-07,1.4931455918736377e-07
27,290.0,3.246509629440603e-07,0.0,1.7499932474049934e-07,1.4965163820356098e-07
28,300.0,3.2486130430957496e-07,0.0,1.7428699481697983e-07,1.5057430949259513e-07
29,310.0,3.20431638071453e-07,0.0,1.7003445237882773e-07,1.5039718569262525e-07
30,320.0,3.1615297836738787e-07,0.0,1.6589020569103263e-07,1.5026277267635514e-07
31,330.0,3.1223301809845395e-07,0.0,1.618390979978412e-07,1.503939201006128e-07
32,340.0,3.0743443178846525e-07,0.0,1.578762916519129e-07,1.4955814013655225e-07
33,350.0,3.025416127435622e-07,0.0,1.5401094200114126e-07,1.485306707424208e-07
34,360.0,2.933526560860169e-07,0.0,1.4588385625641973e-07,1.4746879982959693e-07
35,370.0,2.848764223685012e-07,0.0,1.3839791872413944e-07,1.464785036443616e-07
36,380.0,2.7679204307854476e-07,0.0,1.3127699215382438e-07,1.455150509247204e-07
37,390.0,2.69010616417904e-07,0.0,1.2451423612028123e-07,1.4449638029762266e-07
38,400.0,2.61540785299824e-07,0.0,1.1810874270243765e-07,1.4343204259738627e-07
39,410.0,2.4875557194960185e-07,0.0,1.0720465467705971e-07,1.4155091727254213e-07
40,420.0,2.3679483634941158e-07,0.0,9.730725873005557e-08,1.3948757761935593e-07
41,430.0,2.2535766905247424e-07,0.0,8.833694698918103e-08,1.3702072206329315e-07
42,440.0,2.1432394415209852e-07,0.0,8.019411133029875e-08,1.3412983282179978e-07
43,450.0,2.0376605728572266e-07,0.0,7.278440547500275e-08,1.3098165181071986e-07
44,460.0,1.722480517944314e-07,0.0,5.222304400402726e-08,1.2002500779040418e-07
45,470.0,1.454776628951359e-07,0.0,3.747152377458817e-08,1.0800613912054771e-07
46,480.0,1.2281163834563736e-07,0.0,2.6890140869421053e-08,9.592149747621635e-08
47,490.0,1.0361514179074304e-07,0.0,1.9296778010070473e-08,8.431836378067257e-08
48,500.0,8.740900452535104e-08,0.0,1.3843673411685106e-08,7.356533111366594e-08
49,510.0,4.527054024192374e-08,0.0,3.680364911249217e-09,4.159017533067452e-08
50,520.0,2.3384823340914698e-08,0.0,9.764803557844375e-10,2.2408342985130262e-08
51,530.0,1.2035565982851487e-08,0.0,2.5902025160965426e-10,1.177654573124183e-08
52,540.0,6.223674788552367e-09,0.0,6.870582142944804e-11,6.1549689671229195e-09
53,550.0,3.244483415658401e-09,0.0,1.8221460655981635e-11,3.2262619550024188e-09
54,560.0,1.7174064735202312e-09,0.0,4.832510863412513e-12,1.7125739626568184e-09
55,570.0,9.323602973295243e-10,0.0,1.281543915133479e-12,9.310787534143911e-10
56,580.0,5.264189541478088e-10,0.0,3.398483468536421e-13,5.26079105800955e-10
57,590.0,3.876114868946355e-10,0.0,1.56292784126043e-13,3.8745519411050955e-10
58,600.0,2.915171846483499e-10,0.0,7.108924719617313e-14,2.914460954011539e-10
